week,product,demand_kg
1,Tomato,4200
2,Tomato,4450
3,Tomato,4700
4,Tomato,5100
5,Tomato,5300
6,Tomato,5600
7,Tomato,5950
8,Tomato,6200
9,Tomato,6350
10,Tomato,6800
1,Onion,5000
2,Onion,5100
3,Onion,5250
4,Onion,5150
5,Onion,5300
6,Onion,5200
7,Onion,5350
8,Onion,5100
9,Onion,5250
10,Onion,5200
1,Grapes,1200
2,Grapes,1300
3,Grapes,1450
4,Grapes,1500
5,Grapes,1650
6,Grapes,1750
7,Grapes,1850
8,Grapes,1950
9,Grapes,2050
10,Grapes,2100
1,Wheat,9800
2,Wheat,9700
3,Wheat,9650
4,Wheat,9500
5,Wheat,9400
6,Wheat,9300
7,Wheat,9200
8,Wheat,9100
9,Wheat,9050
10,Wheat,9000
1,Chickpeas,4200
2,Chickpeas,4000
3,Chickpeas,3800
4,Chickpeas,3600
5,Chickpeas,3450
6,Chickpeas,3300
7,Chickpeas,3200
8,Chickpeas,3100
9,Chickpeas,3050
10,Chickpeas,3000
1,Carrot,900
2,Carrot,1000
3,Carrot,1100
4,Carrot,1250
5,Carrot,1350
6,Carrot,1450
7,Carrot,1550
8,Carrot,1650
9,Carrot,1750
10,Carrot,1800
1,Ragi,900
2,Ragi,950
3,Ragi,1000
4,Ragi,1050
5,Ragi,1100
6,Ragi,1150
7,Ragi,1200
8,Ragi,1250
9,Ragi,1350
10,Ragi,1400
